T, PyD, PyDD, PyDT
40.300001, 7.461836, 7.358913, 7.49542
40.400001, 7.460322, 7.363785, 7.498428
40.500001, 7.461046, 7.367108, 7.495385
40.600001, 7.462445, 7.365059, 7.501167
40.700001, 7.460846, 7.367058, 7.498768
40.800001, 7.459572, 7.365514, 7.502106
40.900001, 7.458872, 7.366423, 7.500877
41.000001, 7.464199, 7.366238, 7.500247
41.100001, 7.466343, 7.366438, 7.501906
41.200001, 7.464549, 7.368672, 7.498349
41.300001, 7.465758, 7.366853, 7.503251
41.400001, 7.464289, 7.365419, 7.501142
41.500001, 7.466173, 7.365324, 7.500412
41.600001, 7.465239, 7.365869, 7.505449
41.700001, 7.464429, 7.368832, 7.504475
41.800001, 7.465663, 7.370911, 7.506514
41.900001, 7.466982, 7.372659, 7.507133
42.000001, 7.469196, 7.37118, 7.505354
42.100001, 7.469486, 7.370951, 7.505264
42.200001, 7.470735, 7.372135, 7.504155
42.300001, 7.469736, 7.370101, 7.505314
42.400001, 7.469546, 7.370781, 7.505184
42.500001, 7.470395, 7.370946, 7.504905
42.600001, 7.469361, 7.373689, 7.508008
42.700001, 7.473059, 7.375073, 7.5125
42.800001, 7.476347, 7.377636, 7.510831
42.900001, 7.477421, 7.377142, 7.511181
43.000001, 7.476117, 7.377841, 7.511451
43.100001, 7.476357, 7.376487, 7.511591
43.200001, 7.474638, 7.378206, 7.507998
43.300001, 7.477421, 7.377032, 7.51215
43.400001, 7.481414, 7.377072, 7.511935
43.500001, 7.481164, 7.374543, 7.509607
43.600001, 7.479755, 7.376977, 7.511865
43.700001, 7.481354, 7.3808, 7.509977
43.800001, 7.481389, 7.37938, 7.511541
43.900001, 7.480839, 7.381104, 7.513799
44.000001, 7.480165, 7.382334, 7.518092
44.100001, 7.481834, 7.382803, 7.516927
44.200001, 7.481014, 7.380155, 7.515453
44.300001, 7.482528, 7.381219, 7.516762
44.400001, 7.485996, 7.379635, 7.514489
44.500001, 7.486786, 7.382828, 7.516063
44.600001, 7.488175, 7.377771, 7.515153
44.700001, 7.488205, 7.383248, 7.515983
44.800001, 7.483892, 7.381814, 7.514094
44.900001, 7.485961, 7.385382, 7.516318
45.000001, 7.487305, 7.385941, 7.519751
45.100001, 7.492022, 7.386336, 7.521779
45.200001, 7.490493, 7.386361, 7.520205
45.300001, 7.491473, 7.385876, 7.522009
45.400001, 7.491233, 7.386116, 7.522459
45.500001, 7.493891, 7.385037, 7.52112
45.600001, 7.491168, 7.386056, 7.521609
45.700001, 7.491223, 7.385307, 7.52054
45.800001, 7.491658, 7.385672, 7.520445
45.900001, 7.496595, 7.391778, 7.52154
46.000001, 7.495965, 7.391703, 7.52056
46.100001, 7.497984, 7.389964, 7.523908
46.200001, 7.497349, 7.392173, 7.527201
46.300001, 7.497354, 7.390863, 7.526631
46.400001, 7.49627, 7.391028, 7.52862
46.500001, 7.496665, 7.393532, 7.526921
46.600001, 7.49608, 7.390829, 7.527416
46.700001, 7.497914, 7.391673, 7.527636
46.800001, 7.497644, 7.392992, 7.525402
46.900001, 7.500972, 7.393302, 7.527486
47.000001, 7.500462, 7.39624, 7.528625
